number,title,slug,link,language,runtime,memory,file
1,Two Sum,two-sum,https://leetcode.com/problems/two-sum/,cpp,3 ms,14.8 MB,0001-two-sum.cpp
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,cpp,0 ms,12.4 MB,0003-longest-substring-without-repeating-characters.cpp
7,Reverse Integer,reverse-integer,https://leetcode.com/problems/reverse-integer/,cpp,0 ms,8.7 MB,0007-reverse-integer.cpp
9,Palindrome Number,palindrome-number,https://leetcode.com/problems/palindrome-number/,cpp,4 ms,8.6 MB,0009-palindrome-number.cpp
11,Container With Most Water,container-with-most-water,https://leetcode.com/problems/container-with-most-water/,cpp,0 ms,62.8 MB,0011-container-with-most-water.cpp
13,Roman to Integer,roman-to-integer,https://leetcode.com/problems/roman-to-integer/,cpp,0 ms,10.1 MB,0013-roman-to-integer.cpp
15,3Sum,3sum,https://leetcode.com/problems/3sum/,cpp,35 ms,29 MB,0015-3sum.cpp
16,3Sum Closest,3sum-closest,https://leetcode.com/problems/3sum-closest/,cpp,15 ms,14.1 MB,0016-3sum-closest.cpp
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,cpp,0 ms,9.4 MB,0017-letter-combinations-of-a-phone-number.cpp
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,cpp,0 ms,14.9 MB,0019-remove-nth-node-from-end-of-list.cpp
20,Valid Parentheses,valid-parentheses,https://leetcode.com/problems/valid-parentheses/,cpp,0 ms,8.7 MB,0020-valid-parentheses.cpp
21,Merge Two Sorted Lists,merge-two-sorted-lists,https://leetcode.com/problems/merge-two-sorted-lists/,cpp,0 ms,19.4 MB,0021-merge-two-sorted-lists.cpp
22,Generate Parentheses,generate-parentheses,https://leetcode.com/problems/generate-parentheses/,cpp,4 ms,16.4 MB,0022-generate-parentheses.cpp
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,cpp,0 ms,22.8 MB,0026-remove-duplicates-from-sorted-array.cpp
27,Remove Element,remove-element,https://leetcode.com/problems/remove-element/,cpp,0 ms,11.6 MB,0027-remove-element.cpp
28,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,cpp,0 ms,9.1 MB,0028-find-the-index-of-the-first-occurrence-in-a-string.cpp
29,Divide Two Integers,divide-two-integers,https://leetcode.com/problems/divide-two-integers/,cpp,0 ms,8.4 MB,0029-divide-two-integers.cpp
31,Next Permutation,next-permutation,https://leetcode.com/problems/next-permutation/,cpp,0 ms,15.7 MB,0031-next-permutation.cpp
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,https://leetcode.com/problems/search-in-rotated-sorted-array/,cpp,0 ms,15.1 MB,0033-search-in-rotated-sorted-array.cpp
